origin,dest,job_totals,start_lat,start_lon,end_lat,end_lon,Date,Time,minutes
24510160400,24510010400,1,39.2980135,-76.6481402,39.2781675,-76.5795274,11/01/2022,08:00AM,42.983333333333334
24510160500,24510010400,1,39.2994113,-76.655509,39.2781675,-76.5795274,11/01/2022,08:00AM,51.61666666666667
24510160600,24510010400,1,39.2967497,-76.6640074,39.2781675,-76.5795274,11/01/2022,08:00AM,57.31666666666667
24510160700,24510010400,1,39.3020563,-76.6686304,39.2781675,-76.5795274,11/01/2022,08:00AM,55.18333333333333
24510170100,24510010400,2,39.2971188,-76.6227994,39.2781675,-76.5795274,11/01/2022,08:00AM,35.583333333333336
24510170300,24510010400,2,39.2974131,-76.6305876,39.2781675,-76.5795274,11/01/2022,08:00AM,38.71666666666667
24510180300,24510010400,4,39.2873082,-76.6329977,39.2781675,-76.5795274,11/01/2022,08:00AM,32.333333333333336
24510190100,24510010400,1,39.2912223,-76.6418544,39.2781675,-76.5795274,11/01/2022,08:00AM,37.18333333333333
24510200100,24510010400,1,39.2909656,-76.6478189,39.2781675,-76.5795274,11/01/2022,08:00AM,42.483333333333334
24510200200,24510010400,1,39.2908711,-76.6588488,39.2781675,-76.5795274,11/01/2022,08:00AM,53.88333333333333
24510200300,24510010400,1,39.2839924,-76.6481864,39.2781675,-76.5795274,11/01/2022,08:00AM,44.68333333333333
24510200400,24510010400,1,39.2856222,-76.6558429,39.2781675,-76.5795274,11/01/2022,08:00AM,43.15
24510200600,24510010400,3,39.284012,-76.6637324,39.2781675,-76.5795274,11/01/2022,08:00AM,56.31666666666667
24510200701,24510010400,3,39.2900137,-76.6807033,39.2781675,-76.5795274,11/01/2022,08:00AM,60.78333333333333
24510200800,24510010400,1,39.2801762,-76.6793608,39.2781675,-76.5795274,11/01/2022,08:00AM,56.083333333333336
24510210100,24510010400,1,39.2766193,-76.6265676,39.2781675,-76.5795274,11/01/2022,08:00AM,41.71666666666667
24510210200,24510010400,3,39.2775819,-76.6395975,39.2781675,-76.5795274,11/01/2022,08:00AM,36.11666666666667
24510220100,24510010400,9,39.2827739,-76.6139104,39.2781675,-76.5795274,11/01/2022,08:00AM,27.55
24510230100,24510010400,5,39.2758115,-76.6170686,39.2781675,-76.5795274,11/01/2022,08:00AM,34.233333333333334
