h_geocode,w_geocode,job_totals
24510060100,24510120300,2
24510060100,24510120500,3
24510060100,24510120600,3
24510060100,24510120700,14
24510060100,24510130400,7
24510060100,24510130600,5
24510060100,24510130700,1
24510060100,24510130804,2
24510060100,24510130806,4
24510060100,24510140100,1
24510060100,24510140200,2
24510060100,24510150100,1
24510060100,24510150300,1
24510060100,24510150400,3
24510060100,24510150500,7
24510060100,24510150701,2
24510060100,24510151000,1
24510060100,24510151300,1
24510060100,24510160300,3
24510060100,24510160500,1
24510060100,24510170100,4
24510060100,24510170200,10
24510060100,24510180300,1
24510060100,24510200200,1
24510060100,24510200400,1
24510060100,24510200500,1
24510060100,24510200600,1
24510060100,24510210100,7
24510060100,24510210200,1
24510060100,24510220100,26
24510060100,24510230100,3
24510060100,24510230200,3
24510060100,24510230300,4
24510060100,24510240100,4
24510060100,24510240200,1
24510060100,24510240300,5
24510060100,24510240400,1
24510060100,24510250102,1
24510060100,24510250103,4
24510060100,24510250203,2
24510060100,24510250206,3
24510060100,24510250303,1
24510060100,24510250500,5
24510060100,24510250600,2
24510060100,24510260101,1
24510060100,24510260201,2
24510060100,24510260203,1
24510060100,24510260301,1
24510060100,24510260303,3
24510060100,24510260402,2
24510060100,24510260404,7
24510060100,24510260501,21
24510060100,24510260605,30
24510060100,24510260700,4
24510060100,24510260800,3
24510060100,24510260900,11
24510060100,24510261000,1
24510060100,24510261100,3
24510060100,24510270301,3
24510060100,24510270401,5
24510060100,24510270402,1
24510060100,24510270501,2
24510060100,24510270701,1
24510060100,24510270702,1
24510060100,24510270803,4
24510060100,24510270805,2
24510060100,24510270901,1
24510060100,24510270902,2
24510060100,24510270903,1
24510060100,24510271102,6
24510060100,24510271200,1
24510060100,24510271300,2
24510060100,24510271400,1
24510060100,24510271501,1
24510060100,24510271503,1
24510060100,24510271600,2
24510060100,24510271700,5
24510060100,24510271801,1
24510060100,24510272006,2
24510060100,24510280101,1
24510060100,24510280102,2
24510060100,24510280401,1
24510060100,24510280500,11
24510060200,24510010100,8
24510060200,24510010200,2
24510060200,24510010300,2
24510060200,24510010400,2
24510060200,24510020200,3
24510060200,24510020300,23
24510060200,24510030100,8
24510060200,24510030200,12
24510060200,24510040100,111
24510060200,24510040200,23
24510060200,24510060200,18
24510060200,24510060300,1
24510060200,24510060400,51
24510060200,24510070200,2
24510060200,24510070300,1
24510060200,24510070400,54
24510060200,24510080101,2
24510060200,24510080102,1
24510060200,24510090200,1
24510060200,24510090500,3
24510060200,24510090800,5
24510060200,24510100200,2
24510060200,24510100300,5
24510060200,24510110100,3
24510060200,24510110200,12
24510060200,24510120201,1
24510060200,24510120202,34
24510060200,24510120300,1
24510060200,24510120600,3
24510060200,24510120700,7
24510060200,24510130600,1
24510060200,24510130700,7
24510060200,24510130804,6
24510060200,24510130806,11
24510060200,24510140100,3
24510060200,24510140200,1
24510060200,24510140300,1
24510060200,24510150500,8
24510060200,24510150800,3
24510060200,24510151100,2
24510060200,24510151300,2
24510060200,24510160200,1
24510060200,24510160300,4
24510060200,24510170100,2
24510060200,24510170200,10
24510060200,24510180300,1
24510060200,24510190100,1
24510060200,24510200100,2
24510060200,24510200702,1
24510060200,24510210100,10
24510060200,24510210200,7
24510060200,24510220100,24
24510060200,24510230100,1
24510060200,24510230200,3
24510060200,24510230300,2
24510060200,24510240100,5
24510060200,24510240200,1
24510060200,24510240300,2
24510060200,24510240400,5
24510060200,24510250102,2
24510060200,24510250103,8
24510060200,24510250203,2
24510060200,24510250204,1
