GoeID_Origin,GeoID_Destination,TransitTime (minutes),DriveDistance (miles),DriveTime (minutes),EclDistance(miles)
14000US24510151200,14000US24510250500,252.0235375,12.60117687,32.99217218,7.836022928
14000US24510250401,14000US24510260501,251.8445916,12.59222958,35.16320265,4.936444668
14000US24510250500,14000US24510120201,251.7326328,12.58663164,34.00079158,6.755838378
14000US24510270502,14000US24510151000,251.6609322,12.58304661,34.76503034,7.589861485
14000US24510080200,14000US24510250500,251.1717527,12.55858764,35.02835981,5.572790361
14000US24510090700,14000US24510250401,251.0741606,12.55370803,35.71145178,5.772545729
14000US24510272004,14000US24510260605,251.0672273,12.55336137,35.11825129,10.22686347
14000US24510250500,14000US24510260900,250.2448306,12.51224153,35.43217207,3.79070533
14000US24510260605,14000US24510151000,250.195832,12.5097916,35.03186984,8.382148046
14000US24510120202,14000US24510250500,250.1341342,12.50670671,34.5573231,6.877485199
14000US24510151000,14000US24510270502,250.0256883,12.50128441,34.55096205,7.589861485
14000US24510250401,14000US24510090200,249.9791219,12.49895609,33.76796615,6.752976548
14000US24510250500,14000US24510090400,249.9078704,12.49539352,34.11334053,6.348347598
14000US24510250500,14000US24510130600,249.7868957,12.48934479,35.47237926,7.018211247
14000US24510250500,14000US24510080200,249.6880992,12.48440496,33.86851276,5.572790361
14000US24510250401,14000US24510080101,249.6374139,12.48187069,34.61841385,6.204398299
14000US24510250402,14000US24510260700,249.0075834,12.45037917,35.46261744,4.497227608
14000US24510080500,14000US24510250500,248.9975868,12.44987934,34.60509759,5.686059405
14000US24510260604,14000US24510151000,248.9717365,12.44858682,34.87162461,8.603874574
14000US24510250402,14000US24510080102,248.8495297,12.44247648,34.30224639,6.148626082
14000US24510280403,14000US24510250500,248.1860452,12.40930226,33.81289791,7.015149119
14000US24510150900,14000US24510250500,248.0342722,12.40171361,32.84920711,7.628008914
14000US24510151300,14000US24510250401,248.002129,12.40010645,32.46573325,7.711651731
14000US24510272005,14000US24510260605,247.8276784,12.39138392,33.50657646,10.53770815
14000US24510250401,14000US24510090700,247.774486,12.3887243,34.76180904,5.772545729
14000US24510250402,14000US24510090500,247.567196,12.3783598,34.17742323,6.499033706
14000US24510130700,14000US24510250401,247.5335389,12.37667694,35.32315992,6.956428918
14000US24510250401,14000US24510151300,247.2412396,12.36206198,32.36612591,7.711651731
14000US24510250402,14000US24510151200,246.8100121,12.34050061,33.01853425,7.59396056
14000US24510272005,14000US24510260604,246.519304,12.3259652,34.48017402,10.56323356
14000US24510150800,14000US24510250500,246.4880783,12.32440391,32.41104215,7.739430926
14000US24510260605,14000US24510272005,246.3536462,12.31768231,33.29370641,10.53770815
14000US24510250500,14000US24510150800,246.3402776,12.31701388,32.2481818,7.739430926
14000US24510270801,14000US24510250206,246.3134116,12.31567058,34.64049405,7.838694184
14000US24510250500,14000US24510080500,246.2372669,12.31186335,33.27812332,5.686059405
14000US24510250500,14000US24510080301,246.1951383,12.30975691,34.49758915,5.121182349
14000US24510260700,14000US24510250401,246.1272934,12.30636467,34.82585349,4.261295113
14000US24510250500,14000US24510120202,246.0037937,12.30018969,33.40013538,6.877485199
14000US24510250500,14000US24510150900,245.9232346,12.29616173,32.96652188,7.628008914
14000US24510070100,14000US24510250500,245.8687159,12.29343579,34.86347579,4.686756701
14000US24510250500,14000US24510280403,245.7242726,12.28621363,34.70827548,7.015149119
