trip_id,arrival_time,departure_time,stop_id,stop_sequence
34,10:12:31,10:12:31,16,18
34,10:14:15,10:14:15,15,19
35,09:32:00,09:32:00,0,1
35,09:33:57,09:33:57,1,2
35,09:37:33,09:37:33,2,3
35,09:39:56,09:39:56,17,4
35,09:44:53,09:44:53,3,5
35,09:51:10,09:51:10,4,6
35,09:53:40,09:53:40,5,7
35,09:55:34,09:55:34,6,8
35,09:57:51,09:57:51,7,9
35,10:00:08,10:00:08,8,10
35,10:01:42,10:01:42,9,11
35,10:03:30,10:03:30,10,12
35,10:06:22,10:06:22,11,13
35,10:08:58,10:08:58,12,14
35,10:11:46,10:11:46,18,15
35,10:13:52,10:13:52,13,16
35,10:16:28,10:16:28,14,17
35,10:20:31,10:20:31,16,18
35,10:22:15,10:22:15,15,19
36,09:40:00,09:40:00,0,1
36,09:41:57,09:41:57,1,2
36,09:45:33,09:45:33,2,3
36,09:47:56,09:47:56,17,4
36,09:52:53,09:52:53,3,5
36,09:59:10,09:59:10,4,6
36,10:01:40,10:01:40,5,7
36,10:03:34,10:03:34,6,8
36,10:05:51,10:05:51,7,9
36,10:08:08,10:08:08,8,10
36,10:09:42,10:09:42,9,11
36,10:11:30,10:11:30,10,12
36,10:14:22,10:14:22,11,13
36,10:16:58,10:16:58,12,14
36,10:19:46,10:19:46,18,15
36,10:21:52,10:21:52,13,16
36,10:24:28,10:24:28,14,17
36,10:28:31,10:28:31,16,18
36,10:30:15,10:30:15,15,19
37,09:48:00,09:48:00,0,1
37,09:49:57,09:49:57,1,2
37,09:53:33,09:53:33,2,3
37,09:55:56,09:55:56,17,4
37,10:00:53,10:00:53,3,5
37,10:07:10,10:07:10,4,6
37,10:09:40,10:09:40,5,7
37,10:11:34,10:11:34,6,8
37,10:13:51,10:13:51,7,9
37,10:16:08,10:16:08,8,10
37,10:17:42,10:17:42,9,11
37,10:19:30,10:19:30,10,12
37,10:22:22,10:22:22,11,13
37,10:24:58,10:24:58,12,14
37,10:27:46,10:27:46,18,15
37,10:29:52,10:29:52,13,16
37,10:32:28,10:32:28,14,17
37,10:36:31,10:36:31,16,18
37,10:38:15,10:38:15,15,19
38,09:56:00,09:56:00,0,1
38,09:57:57,09:57:57,1,2
38,10:01:33,10:01:33,2,3
